cpu_t0,memory_t0,disk_t0,temperature_t0,errors_t0,response_time_t0,network_t0,uptime_t0,processes_t0,threads_t0,cpu_t1,memory_t1,disk_t1,temperature_t1,errors_t1,response_time_t1,network_t1,uptime_t1,processes_t1,threads_t1,cpu_t2,memory_t2,disk_t2,temperature_t2,errors_t2,response_time_t2,network_t2,uptime_t2,processes_t2,threads_t2,cpu_t3,memory_t3,disk_t3,temperature_t3,errors_t3,response_time_t3,network_t3,uptime_t3,processes_t3,threads_t3,cpu_t4,memory_t4,disk_t4,temperature_t4,errors_t4,response_time_t4,network_t4,uptime_t4,processes_t4,threads_t4,cpu_t5,memory_t5,disk_t5,temperature_t5,errors_t5,response_time_t5,network_t5,uptime_t5,processes_t5,threads_t5,cpu_t6,memory_t6,disk_t6,temperature_t6,errors_t6,response_time_t6,network_t6,uptime_t6,processes_t6,threads_t6,cpu_t7,memory_t7,disk_t7,temperature_t7,errors_t7,response_time_t7,network_t7,uptime_t7,processes_t7,threads_t7,cpu_t8,memory_t8,disk_t8,temperature_t8,errors_t8,response_time_t8,network_t8,uptime_t8,processes_t8,threads_t8,cpu_t9,memory_t9,disk_t9,temperature_t9,errors_t9,response_time_t9,network_t9,uptime_t9,processes_t9,threads_t9,label
30.16,49.78,37.76,42.74,-1.45,101.5,1003.55,200.97,60.2,118.43,31.84,49.26,39.88,44.97,-1.86,99.82,997.84,198.22,56.94,118.79,28.58,51.73,40.16,47.63,-0.3,100.08,997.64,200.88,61.89,118.83,28.09,47.03,38.63,47.92,-4.73,101.22,1003.7,202.37,57.39,120.12,25.59,51.12,39.63,43.18,-0.09,100.56,1002.53,200.94,62.42,118.73,28.39,50.1,38.05,46.58,1.04,99.12,1000.45,202.09,56.0,121.86,31.14,52.22,38.92,42.32,-1.51,101.79,999.48,196.39,56.9,119.55,31.58,46.43,38.9,42.23,-0.01,101.78,999.87,201.29,58.63,121.72,27.3,50.08,38.25,46.39,0.68,99.65,1002.57,198.72,59.34,120.07,32.54,48.14,40.62,45.59,0.29,96.48,1000.6,200.62,62.61,117.66,0
29.82,48.86,39.13,42.03,4.63,97.52,998.65,198.54,56.13,119.86,27.17,51.7,37.19,44.32,3.47,103.0,998.87,198.23,60.74,120.66,30.28,49.98,40.06,44.94,-0.63,99.58,1001.28,199.71,59.07,117.88,31.4,47.53,40.68,47.75,-0.72,101.1,1001.5,201.4,61.02,118.34,31.68,48.98,41.05,46.09,-2.24,101.7,1002.45,199.1,61.98,119.19,29.47,53.92,42.14,47.49,0.96,101.67,1002.01,198.38,61.87,126.43,29.04,50.17,36.55,49.35,-0.26,96.96,1001.2,198.3,58.03,114.77,31.58,51.64,39.24,43.42,-0.67,104.83,999.17,202.49,60.04,120.54,27.59,50.88,40.43,45.86,-0.65,97.72,1001.28,203.41,60.36,122.41,32.93,48.0,41.42,47.6,0.46,100.5,1000.22,198.97,58.45,119.42,0
30.57,51.18,38.5,46.64,-0.42,100.61,1001.17,198.07,61.85,120.25,31.48,46.02,41.44,45.86,-1.33,101.55,1000.7,198.25,60.33,125.03,33.29,49.73,37.89,42.11,-1.78,99.95,999.53,202.11,60.32,120.47,28.93,50.21,40.31,44.31,-1.87,101.15,999.77,197.5,60.58,121.25,32.4,51.58,41.11,42.3,1.44,98.95,1001.31,199.39,59.33,119.02,32.9,51.09,39.89,45.07,-0.12,97.47,1000.02,198.41,58.1,122.89,29.15,50.33,40.34,44.69,-1.13,102.05,998.82,199.03,62.37,118.41,27.27,54.73,42.91,45.78,2.22,102.09,1000.96,200.39,61.88,119.35,27.77,52.27,41.29,45.66,-4.83,98.76,1002.38,196.7,56.01,119.8,26.44,49.79,40.25,43.52,-1.26,100.87,1003.9,203.9,61.07,120.05,0
29.99,50.87,41.47,46.66,0.02,100.62,998.06,199.51,61.06,119.29,34.22,49.19,42.69,45.59,0.19,98.3,1000.86,201.14,58.07,120.27,29.87,51.46,40.65,44.31,4.22,100.55,999.89,202.73,60.8,120.5,28.26,50.51,41.7,46.32,2.19,103.2,998.75,198.44,55.94,118.99,29.15,53.2,40.42,40.4,-0.74,102.67,998.66,200.95,60.61,119.18,27.36,50.63,42.89,41.47,-3.22,101.15,995.38,194.51,63.46,121.22,31.82,49.29,37.85,45.03,-1.17,100.39,1004.27,197.52,57.94,118.12,28.63,50.78,38.29,44.66,-1.35,98.46,1000.35,199.59,60.21,124.49,35.53,48.28,40.31,44.42,-0.55,99.82,1001.62,198.83,59.32,118.94,33.1,49.69,34.86,43.84,-2.88,98.21,996.69,197.79,59.08,118.33,0
33.08,49.47,37.01,45.39,0.27,103.5,999.5,198.18,62.23,120.34,29.01,52.14,38.83,42.33,1.66,101.57,998.64,195.57,57.76,118.73,32.12,49.69,36.3,47.47,-4.38,98.14,1000.15,197.5,57.45,121.77,30.21,52.29,39.52,46.36,2.17,102.4,1000.84,201.41,59.84,118.05,30.88,47.49,43.14,43.51,-1.2,98.71,1000.45,199.73,55.32,118.93,30.76,49.89,43.81,46.52,0.47,98.08,996.71,198.97,58.84,121.86,28.32,49.28,39.32,42.29,-2.63,101.01,1001.72,198.38,60.07,120.2,29.94,50.54,41.53,46.5,-1.35,97.23,995.23,198.77,62.67,120.05,27.37,49.62,38.28,44.04,2.2,96.89,1000.02,197.78,58.08,119.15,29.13,49.73,38.91,46.04,0.2,101.47,1000.09,195.88,58.88,119.2,0
31.63,49.19,43.6,45.31,0.87,101.18,998.29,201.21,59.77,120.7,30.43,52.35,39.36,42.05,-0.54,100.49,1002.08,198.42,61.94,122.72,30.27,48.43,40.05,46.02,-0.25,99.29,994.46,199.79,57.41,116.44,32.72,49.32,43.28,45.28,-2.14,100.68,996.88,202.17,64.27,118.7,30.17,50.47,39.94,48.11,-1.7,101.15,998.52,199.4,61.39,120.74,28.98,46.11,43.19,46.94,-1.88,100.48,998.08,197.5,57.04,121.16,29.14,50.49,39.37,46.62,-1.34,101.78,996.63,198.79,60.6,120.85,27.32,50.04,40.5,42.25,-3.53,103.45,1001.01,199.48,62.9,123.6,35.52,49.52,37.77,44.79,-1.13,95.51,1000.8,200.84,61.65,125.27,28.26,49.63,41.5,43.66,0.18,101.32,1001.87,199.45,64.71,118.01,0
26.38,51.31,41.78,44.73,-1.26,100.22,1002.67,199.61,58.19,116.87,28.38,48.3,39.89,44.64,-2.79,100.63,1005.32,198.91,60.66,119.44,29.27,52.01,40.42,41.88,0.46,100.37,998.18,204.67,60.55,119.89,31.67,47.61,42.3,43.67,-6.43,101.13,997.57,198.31,61.67,121.85,29.79,50.53,38.31,41.48,-0.27,101.48,997.34,201.58,59.51,118.6,33.12,50.27,36.97,48.72,1.06,99.12,1003.77,201.67,60.26,117.8,32.12,51.25,41.11,44.89,2.35,93.91,995.42,202.1,58.4,118.07,28.7,47.78,37.15,46.05,0.09,104.79,1000.64,200.17,58.79,118.88,28.69,48.18,39.71,44.95,0.41,99.76,1003.02,199.46,56.52,120.64,32.08,52.2,40.04,42.77,0.25,101.0,999.15,200.98,57.84,120.11,0
28.83,49.4,38.85,47.17,-0.62,103.01,1003.0,202.67,60.67,115.44,31.86,49.39,40.43,48.23,-3.31,99.4,999.11,200.41,61.15,117.18,29.25,47.71,42.55,43.85,-0.01,100.93,1002.41,198.88,59.92,121.9,30.51,48.24,38.58,46.57,-2.18,100.48,1000.35,201.14,58.37,122.88,30.6,50.55,36.93,46.2,-4.96,100.15,999.24,200.64,61.19,120.23,29.96,49.11,39.8,43.39,0.82,94.99,999.31,205.85,56.04,125.69,29.24,48.93,42.65,44.32,-1.39,100.62,1000.82,198.49,55.51,121.85,30.41,50.37,39.48,46.44,1.61,103.36,998.79,199.45,58.34,120.63,30.08,47.06,36.43,50.33,-2.02,101.37,999.26,198.78,59.38,116.87,31.38,51.69,40.14,45.58,0.47,102.96,1001.34,204.43,59.64,120.04,0
29.39,52.49,41.61,43.07,3.0,100.01,999.93,199.12,59.13,120.39,29.33,48.59,40.45,44.99,-1.6,98.81,999.39,199.76,58.03,122.89,30.16,52.77,39.13,44.4,-2.18,98.95,1003.66,203.79,59.89,120.18,27.55,50.75,40.92,47.16,-1.56,100.49,998.47,198.67,59.76,119.79,31.51,50.39,42.14,48.76,-4.09,99.07,997.6,201.77,65.35,119.14,27.86,50.88,40.02,43.17,-1.35,101.12,997.75,199.84,62.13,118.82,30.66,49.12,39.84,43.12,-2.76,101.27,1001.39,198.76,56.46,118.09,26.9,54.38,42.08,44.08,2.12,102.45,999.83,200.37,60.19,123.19,28.62,50.49,42.18,44.16,1.93,98.95,1001.85,197.2,61.9,121.26,26.71,52.23,42.33,44.47,3.47,99.3,1002.17,198.72,61.98,119.96,0
31.67,49.59,39.88,42.4,-2.31,100.43,997.22,202.99,61.91,121.77,32.68,48.19,44.66,43.48,3.1,100.83,999.96,198.83,60.88,120.05,33.84,47.15,36.45,43.06,-0.18,100.03,1001.14,198.67,58.34,118.76,29.93,46.12,38.98,43.97,-0.27,99.2,998.37,202.29,55.46,122.43,32.61,48.51,41.0,44.05,-0.33,99.73,998.07,200.06,61.04,116.93,29.31,49.07,36.57,45.48,2.97,101.33,999.5,200.95,60.83,122.79,31.63,45.79,42.68,46.1,1.79,97.72,1001.54,198.28,59.16,121.62,27.46,52.08,39.01,46.31,-0.47,100.72,999.9,199.13,62.14,119.42,27.6,52.92,42.9,46.86,2.07,101.27,1002.07,202.03,59.54,118.98,32.59,52.54,42.52,44.65,2.75,98.87,1000.09,199.49,63.61,120.02,0
